city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
212902,Kindu,CD,-2.95,25.95,11/13/21,            20.66,100,100,1.23
2129868,Iwanai,JP,42.9744,140.5089,11/13/21,            11.77,77,89,3.19
1259385,Port Blair,IN,11.6667,92.75,11/13/21,            28.05,73,71,3.36
4258273,Greencastle,US,39.6445,-86.8647,11/13/21,            3.02,69,90,2.57
3137469,Sørland,NO,67.667,12.6934,11/13/21,            2.04,62,74,7.32
1213855,Sibolga,ID,1.7427,98.7792,11/13/21,            27.54,71,100,0.7
2127202,Anadyr,RU,64.75,177.4833,11/13/21,            -1.72,92,90,5
415189,Aden,YE,12.7794,45.0367,11/13/21,            26.78,66,0,8.07
2171722,Charters Towers,AU,-20.1,146.2667,11/13/21,            30.41,20,3,1.79
5916706,Carberry,CA,49.8689,-99.3602,11/13/21,            -4.87,98,87,2.18
2120047,Ust'-Omchug,RU,61.15,149.6333,11/13/21,            -5.68,95,100,2.83
3420846,Qaqortoq,GL,60.7167,-46.0333,11/13/21,            -7.72,84,4,1.89
2092164,Lorengau,PG,-2.0226,147.2712,11/13/21,            28.73,78,72,3.55
2015306,Tiksi,RU,71.6872,128.8694,11/13/21,            -23.11,99,98,2.33
6255012,Flinders,AU,-34.5833,150.8552,11/13/21,            21.7,44,66,4.02
5767918,Pierre,US,44.3683,-100.351,11/13/21,            7.14,67,1,2.24
2156643,Mount Gambier,AU,-37.8333,140.7667,11/13/21,            12.95,50,40,10.29
2122293,Ozernovskiy,RU,51.5,156.5167,11/13/21,            3.83,72,100,10.33
2206874,Waipawa,NZ,-41.4122,175.5153,11/13/21,            18.35,55,9,7.64
2126018,De-Kastri,RU,51.4667,140.7833,11/13/21,            -0.07,54,0,3.77
366444,Tambura,SS,5.6,27.4667,11/13/21,            20.89,89,9,0.85
5354943,Half Moon Bay,US,37.4636,-122.4286,11/13/21,            19.45,78,1,3.09
932987,Tsabong,BW,-26.0217,22.401,11/13/21,            22.82,13,0,4.68
6243926,Blenheim,NZ,-41.516,173.9528,11/13/21,            24.54,59,42,2.24
6316343,Alta Floresta,BR,-9.8756,-56.0861,11/13/21,            21.75,99,100,1.35
2968754,Arrondissement de Villefranche-de-Rouergue,FR,44.3333,2,11/13/21,            10.02,97,100,1.74
3868626,Valparaíso,CL,-33.0393,-71.6273,11/13/21,            15.8,55,0,4.12
2112309,Katsuura,JP,35.1333,140.3,11/13/21,            20.06,61,57,7.37
5850554,Makakilo City,US,21.3469,-158.0858,11/13/21,            28.18,55,1,2.57
2160517,Launceston,AU,-41.45,147.1667,11/13/21,            10.45,84,90,2.68
1856392,Muroto-misakicho,JP,33.2833,134.15,11/13/21,            16.02,56,97,1.78
1516048,Khovd,MN,48.0056,91.6419,11/13/21,            -0.66,45,14,2.23
950709,Swellendam,ZA,-34.0226,20.4417,11/13/21,            14.23,88,58,1.69
3691324,Tocache,PE,-8.1842,-76.5125,11/13/21,            21.79,90,99,0.59
4703078,Kerrville,US,30.0474,-99.1403,11/13/21,            15.52,44,1,2.57
1591474,Bac Lieu,VN,9.285,105.7244,11/13/21,            27.58,79,100,4.81
2413515,Farafenni,GM,13.5667,-15.6,11/13/21,            26.7,38,100,2.05
1633419,Padang,ID,-0.9492,100.3543,11/13/21,            29.03,68,76,1.51
1516527,Zholymbet,KZ,51.7433,71.7122,11/13/21,            -2.88,71,49,8.04
3389380,Santana do Mundaú,BR,-9.1681,-36.2222,11/13/21,            22.99,89,39,1.26
610298,Beyneu,KZ,45.3167,55.2,11/13/21,            4.81,60,99,7.76
5879400,Anchorage,US,61.2181,-149.9003,11/13/21,            -6.3,85,1,0
